"","gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id","read_lag","math_lag","q30_read","q30_math","bottom30","star_sel"
"41","female","cauc",1980 Q1,"kindergarten","regular",402,439,"non-free","suburban","bachelor","level1",11,"cauc","22","51","100159",NA,NA,NA,NA,NA,TRUE
"42","female","cauc",1980 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100159",402,439,419,459,TRUE,TRUE
"43","female","cauc",1980 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100159",NA,NA,485,507,NA,NA
"44","female","cauc",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100159",NA,NA,557,557,NA,NA
"45","male","afam",1980 Q2,"kindergarten","small",433,473,"free","suburban","bachelor","apprentice",5,"afam","11","24","100173",NA,NA,NA,NA,NA,NA
"46","male","afam",1980 Q2,"1st","small",544,592,"free","suburban","master","level3",23,"afam","11","24","100173",433,473,419,459,FALSE,FALSE
"47","male","afam",1980 Q2,"2nd","small",582,579,"free","suburban",NA,NA,NA,NA,"11","24","100173",544,592,485,507,FALSE,FALSE
"48","male","afam",1980 Q2,"3rd","small",657,645,"free","suburban","master","level1",24,"afam","11","24","100173",582,579,557,557,FALSE,FALSE
"49","female","cauc",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100188",NA,NA,NA,NA,NA,NA
"50","female","cauc",1980 Q2,"1st","regular",540,562,"non-free","rural","master","level1",11,"cauc","24","57","100188",NA,NA,419,459,NA,TRUE
"51","female","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100188",540,562,485,507,FALSE,NA
"52","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100188",NA,NA,557,557,NA,NA
"53","male","cauc",1980 Q3,"kindergarten","small",400,459,"non-free","rural","bachelor","level1",20,"cauc","36","71","100201",NA,NA,NA,NA,NA,NA
"54","male","cauc",1980 Q3,"1st","regular",519,518,"free","rural","bachelor","level1",4,"cauc","36","71","100201",400,459,419,459,TRUE,TRUE
"55","male","cauc",1980 Q3,"2nd","regular",588,603,NA,"rural","master","level3",22,"cauc","36","71","100201",519,518,485,507,FALSE,TRUE
"56","male","cauc",1980 Q3,"3rd","regular",590,655,"non-free","rural","master","level2",14,"cauc","36","71","100201",588,603,557,557,FALSE,TRUE
"57","male","afam",1979 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100216",NA,NA,NA,NA,NA,NA
"58","male","afam",1979 Q4,"1st","regular",445,484,"free","suburban","bachelor","apprentice",2,"cauc","11","23","100216",NA,NA,419,459,NA,TRUE
"59","male","afam",1979 Q4,"2nd","regular",520,502,"free","suburban","bachelor","level1",2,"afam","11","23","100216",445,484,485,507,TRUE,TRUE
"60","male","afam",1979 Q4,"3rd","regular",527,528,"free","suburban","bachelor","level1",10,"afam","11","23","100216",520,502,557,557,TRUE,TRUE
"61","male","cauc",1979 Q4,"kindergarten","small",442,536,"non-free","rural","bachelor","level1",6,"cauc","35","69","10023",NA,NA,NA,NA,NA,NA
"62","male","cauc",1979 Q4,"1st","small",527,549,"non-free","rural","bachelor","level1",13,"cauc","35","69","10023",442,536,419,459,FALSE,FALSE
"63","male","cauc",1979 Q4,"2nd","small",591,563,"non-free","rural","bachelor","notladder",14,"cauc","35","69","10023",527,549,485,507,FALSE,FALSE
"64","male","cauc",1979 Q4,"3rd","small",633,603,"non-free","rural","bachelor","level1",18,"cauc","35","69","10023",591,563,557,557,FALSE,FALSE
"65","male","cauc",1980 Q2,"kindergarten","small",434,484,"non-free","rural","master","level1",6,"cauc","29","62","100236",NA,NA,NA,NA,NA,NA
"66","male","cauc",1980 Q2,"1st","small",505,567,NA,"rural","bachelor","level1",12,"cauc","29","62","100236",434,484,419,459,FALSE,FALSE
"67","male","cauc",1980 Q2,"2nd","small",602,599,"non-free","rural","master","notladder",6,"cauc","29","62","100236",505,567,485,507,FALSE,FALSE
"68","male","cauc",1980 Q2,"3rd","small",622,648,"non-free","rural","bachelor","level1",15,"afam","29","62","100236",602,599,557,557,FALSE,FALSE
"69","male","afam",1979 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100255",NA,NA,NA,NA,NA,NA
"70","male","afam",1979 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100255",NA,NA,419,459,NA,NA
"71","male","afam",1979 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100255",NA,NA,485,507,NA,NA
"72","male","afam",1979 Q1,"3rd","regular",592,622,"free","inner-city","bachelor","probation",2,"cauc","11","29","100255",NA,NA,557,557,NA,TRUE
"73","male","afam",1980 Q1,"kindergarten","regular+aide",433,500,"free","inner-city","master","level1",10,"afam","11","28","100271",NA,NA,NA,NA,NA,TRUE
"74","male","afam",1980 Q1,"1st","regular+aide",453,510,"free","inner-city","master","level1",6,"afam","11","28","100271",433,500,419,459,FALSE,TRUE
"75","male","afam",1980 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100271",453,510,485,507,TRUE,TRUE
"76","male","afam",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100271",NA,NA,557,557,NA,NA
"77","female","cauc",1980 Q2,"kindergarten","small",485,484,"free","rural","bachelor","level1",11,"cauc","8","11","100285",NA,NA,NA,NA,NA,NA
"78","female","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100285",485,484,419,459,FALSE,NA
"79","female","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100285",NA,NA,485,507,NA,NA
"80","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100285",NA,NA,557,557,NA,NA
"81","female","afam",1980 Q2,"kindergarten","regular+aide",463,528,"non-free","suburban","bachelor","apprentice",1,"afam","11","20","100302",NA,NA,NA,NA,NA,TRUE
"82","female","afam",1980 Q2,"1st","regular",590,549,"non-free","suburban","bachelor","level1",4,"cauc","11","20","100302",463,528,419,459,FALSE,TRUE
"83","female","afam",1980 Q2,"2nd","regular",579,559,"non-free","suburban","bachelor","notladder",4,"afam","11","20","100302",590,549,485,507,FALSE,TRUE
"84","female","afam",1980 Q2,"3rd","regular",610,618,"non-free","suburban","bachelor","level1",7,"afam","11","20","100302",579,559,557,557,FALSE,TRUE
"85","female","cauc",1980 Q2,"kindergarten","small",514,559,"free","rural","master","level1",6,"cauc","36","72","100318",NA,NA,NA,NA,NA,NA
"86","female","cauc",1980 Q2,"1st","small",590,601,"non-free","rural","master","level1",7,"cauc","36","72","100318",514,559,419,459,FALSE,FALSE
"87","female","cauc",1980 Q2,"2nd","small",659,648,"free","rural","bachelor","level1",10,"cauc","36","72","100318",590,601,485,507,FALSE,FALSE
"88","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100318",659,648,557,557,FALSE,NA
"89","male","afam",1980 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100335",NA,NA,NA,NA,NA,NA
"90","male","afam",1980 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100335",NA,NA,419,459,NA,NA
"91","male","afam",1980 Q1,"2nd","small",NA,NA,"free","suburban","bachelor","notladder",15,"afam","22","54","100335",NA,NA,485,507,NA,NA
"92","male","afam",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100335",NA,NA,557,557,NA,NA
"93","male","afam",1978 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100345",NA,NA,NA,NA,NA,NA
"94","male","afam",1978 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100345",NA,NA,419,459,NA,NA
"95","male","afam",1978 Q3,"2nd","regular+aide",526,561,"free","inner-city","master","level1",12,"cauc","11","29","100345",NA,NA,485,507,NA,TRUE
"96","male","afam",1978 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100345",526,561,557,557,TRUE,TRUE
"97","female","cauc",1980 Q3,"kindergarten","small",451,500,"non-free","suburban","master","level1",14,"afam","11","21","100361",NA,NA,NA,NA,NA,NA
"98","female","cauc",1980 Q3,"1st","regular",564,488,"free","suburban","master","level1",33,"cauc","11","21","100361",451,500,419,459,FALSE,TRUE
"99","female","cauc",1980 Q3,"2nd","small",555,530,"non-free","suburban","bachelor","level1",25,"afam","11","21","100361",564,488,485,507,TRUE,TRUE
"100","female","cauc",1980 Q3,"3rd","small",608,540,"free","suburban","bachelor","notladder",21,"cauc","11","21","100361",555,530,557,557,TRUE,TRUE
"101","male","cauc",1979 Q4,"kindergarten","regular+aide",451,559,"non-free","suburban","bachelor","level1",17,"cauc","25","58","100375",NA,NA,NA,NA,NA,TRUE
"102","male","cauc",1979 Q4,"1st","regular",571,567,"non-free","suburban","bachelor","probation",0,"cauc","25","58","100375",451,559,419,459,FALSE,TRUE
"103","male","cauc",1979 Q4,"2nd","regular",669,674,"non-free","suburban","bachelor","probation",3,"cauc","25","58","100375",571,567,485,507,FALSE,TRUE
"104","male","cauc",1979 Q4,"3rd","regular",654,663,"non-free","suburban","bachelor","level1",11,"cauc","25","58","100375",669,674,557,557,FALSE,TRUE
"105","female","afam",1979 Q3,"kindergarten","regular",NA,NA,"free","suburban","bachelor","level1",6,"cauc","11","24","100394",NA,NA,NA,NA,NA,TRUE
"106","female","afam",1979 Q3,"1st","regular",NA,529,"non-free","suburban","bachelor","level1",3,"afam","11","24","100394",NA,NA,419,459,NA,TRUE
"107","female","afam",1979 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100394",NA,529,485,507,NA,NA
"108","female","afam",1979 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100394",NA,NA,557,557,NA,NA
"109","female","cauc",1979 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100409",NA,NA,NA,NA,NA,NA
"110","female","cauc",1979 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100409",NA,NA,419,459,NA,NA
"111","female","cauc",1979 Q3,"2nd","regular",538,563,"non-free","suburban","specialist","level1",15,"cauc","17","41","100409",NA,NA,485,507,NA,TRUE
"112","female","cauc",1979 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100409",538,563,557,557,TRUE,TRUE
"113","male","afam",1979 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100422",NA,NA,NA,NA,NA,NA
"114","male","afam",1979 Q4,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100422",NA,NA,419,459,NA,NA
"115","male","afam",1979 Q4,"2nd","small",NA,NA,"free","urban","master","apprentice",23,"cauc","6","9","100422",NA,NA,485,507,NA,NA
"116","male","afam",1979 Q4,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100422",NA,NA,557,557,NA,NA
"117","female","cauc",1980 Q2,"kindergarten","regular+aide",424,528,"free","rural","bachelor","level1",9,"cauc","21","49","10044",NA,NA,NA,NA,NA,TRUE
"118","female","cauc",1980 Q2,"1st","regular+aide",509,529,"free","rural","master","level1",11,"afam","21","49","10044",424,528,419,459,FALSE,TRUE
"119","female","cauc",1980 Q2,"2nd","regular+aide",566,593,"free","rural","bachelor","level1",7,"cauc","21","49","10044",509,529,485,507,FALSE,TRUE
"120","female","cauc",1980 Q2,"3rd","regular+aide",620,610,"free","rural","master","level2",17,"cauc","21","49","10044",566,593,557,557,FALSE,TRUE
"121","female","afam",1980 Q3,"kindergarten","regular+aide",393,506,"free","suburban","bachelor","level1",8,"afam","11","17","100443",NA,NA,NA,NA,NA,TRUE
"122","female","afam",1980 Q3,"1st","regular",466,484,"free","suburban","bachelor","level1",16,"cauc","11","17","100443",393,506,419,459,TRUE,TRUE
"123","female","afam",1980 Q3,"2nd","regular",NA,NA,"free","suburban","bachelor","notladder",12,"cauc","11","17","100443",466,484,485,507,TRUE,TRUE
"124","female","afam",1980 Q3,"3rd","regular",610,603,"free","suburban","master","level1",19,"afam","11","17","100443",NA,NA,557,557,NA,TRUE
"125","female","cauc",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100462",NA,NA,NA,NA,NA,NA
"126","female","cauc",1980 Q2,"1st","regular",629,567,"free","suburban","bachelor","apprentice",2,"afam","22","52","100462",NA,NA,419,459,NA,TRUE
"127","female","cauc",1980 Q2,"2nd","regular+aide",659,584,"non-free","suburban","bachelor","level1",18,"cauc","22","52","100462",629,567,485,507,FALSE,TRUE
"128","female","cauc",1980 Q2,"3rd","regular+aide",654,651,"non-free","suburban","bachelor","level1",21,"cauc","22","52","100462",659,584,557,557,FALSE,TRUE
"129","male","cauc",1979 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100473",NA,NA,NA,NA,NA,NA
"130","male","cauc",1979 Q3,"1st","regular",477,505,"non-free","rural","bachelor","level1",5,"cauc","34","68","100473",NA,NA,419,459,NA,TRUE
"131","male","cauc",1979 Q3,"2nd","regular",557,552,"non-free","rural","bachelor","level1",31,"cauc","34","68","100473",477,505,485,507,TRUE,TRUE
"132","male","cauc",1979 Q3,"3rd","regular",577,550,"non-free","rural","bachelor","level1",8,"cauc","34","68","100473",557,552,557,557,TRUE,TRUE
"133","female","afam",1979 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100497",NA,NA,NA,NA,NA,NA
"134","female","afam",1979 Q1,"1st","regular+aide",471,470,"free","suburban","bachelor","level1",20,"cauc","11","17","100497",NA,NA,419,459,NA,TRUE
"135","female","afam",1979 Q1,"2nd","regular+aide",517,536,"free","suburban","bachelor","level1",12,"afam","11","17","100497",471,470,485,507,TRUE,TRUE
"136","female","afam",1979 Q1,"3rd","regular+aide",567,597,"free","suburban","master","level1",18,"cauc","11","17","100497",517,536,557,557,TRUE,TRUE
"137","female","cauc",1980 Q3,"kindergarten","regular",NA,NA,"free","inner-city","master","probation",3,"afam","22","53","100506",NA,NA,NA,NA,NA,TRUE
"138","female","cauc",1980 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100506",NA,NA,419,459,NA,NA
"139","female","cauc",1980 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100506",NA,NA,485,507,NA,NA
"140","female","cauc",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100506",NA,NA,557,557,NA,NA
"141","male","afam",1980 Q3,"kindergarten","regular",442,478,"non-free","inner-city","bachelor","level1",9,"afam","11","18","100523",NA,NA,NA,NA,NA,TRUE
"142","male","afam",1980 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100523",442,478,419,459,FALSE,NA
"143","male","afam",1980 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100523",NA,NA,485,507,NA,NA
"144","male","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100523",NA,NA,557,557,NA,NA
"145","male","afam",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100540",NA,NA,NA,NA,NA,NA
"146","male","afam",1980 Q2,"1st","regular+aide",453,474,"free","suburban","bachelor","level1",20,"cauc","11","17","100540",NA,NA,419,459,NA,TRUE
"147","male","afam",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100540",453,474,485,507,TRUE,TRUE
"148","male","afam",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100540",NA,NA,557,557,NA,NA
"149","female","cauc",1979 Q2,"kindergarten","regular+aide",431,489,"free","rural","master","level1",12,"cauc","6","8","100557",NA,NA,NA,NA,NA,TRUE
"150","female","cauc",1979 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100557",431,489,419,459,FALSE,NA
"151","female","cauc",1979 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100557",NA,NA,485,507,NA,NA
"152","female","cauc",1979 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100557",NA,NA,557,557,NA,NA
"153","male","cauc",1980 Q1,"kindergarten","regular",424,500,"non-free","rural","bachelor","level1",6,"cauc","36","71","100577",NA,NA,NA,NA,NA,TRUE
"154","male","cauc",1980 Q1,"1st","regular+aide",536,535,"free","rural","bachelor","level1",31,"cauc","36","71","100577",424,500,419,459,FALSE,TRUE
"155","male","cauc",1980 Q1,"2nd","regular+aide",604,603,NA,"rural","bachelor","probation",1,"cauc","36","71","100577",536,535,485,507,FALSE,TRUE
"156","male","cauc",1980 Q1,"3rd","regular+aide",657,639,"non-free","rural","bachelor","level1",12,"cauc","36","71","100577",604,603,557,557,FALSE,TRUE
"157","male","afam",1980 Q1,"kindergarten","regular+aide",419,405,"free","inner-city","bachelor","apprentice",1,"afam","11","14","100592",NA,NA,NA,NA,NA,TRUE
"158","male","afam",1980 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100592",419,405,419,459,TRUE,TRUE
"159","male","afam",1980 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100592",NA,NA,485,507,NA,NA
"160","male","afam",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100592",NA,NA,557,557,NA,NA
"161","male","cauc",1978 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100598",NA,NA,NA,NA,NA,NA
"162","male","cauc",1978 Q4,"1st","regular+aide",483,535,"free","urban","bachelor","level1",10,"cauc","6","9","100598",NA,NA,419,459,NA,TRUE
"163","male","cauc",1978 Q4,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100598",483,535,485,507,TRUE,TRUE
"164","male","cauc",1978 Q4,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100598",NA,NA,557,557,NA,NA
"165","male","afam",1980 Q2,"kindergarten","regular",421,484,"non-free","inner-city","bachelor","level1",9,"afam","11","18","10061",NA,NA,NA,NA,NA,TRUE
"166","male","afam",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10061",421,484,419,459,FALSE,NA
"167","male","afam",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10061",NA,NA,485,507,NA,NA
"168","male","afam",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10061",NA,NA,557,557,NA,NA
"169","male","afam",1980 Q3,"kindergarten","regular",434,449,"free","inner-city","master","level1",11,"afam","11","15","100619",NA,NA,NA,NA,NA,TRUE
"170","male","afam",1980 Q3,"1st","regular",459,484,"free","inner-city","master","level1",11,"cauc","11","15","100619",434,449,419,459,TRUE,TRUE
"171","male","afam",1980 Q3,"2nd","regular",532,525,"free","inner-city","master","level1",11,"cauc","11","15","100619",459,484,485,507,TRUE,TRUE
"172","male","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100619",532,525,557,557,TRUE,TRUE
"173","male","cauc",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100638",NA,NA,NA,NA,NA,NA
"174","male","cauc",1980 Q2,"1st","regular",629,538,"non-free","urban","bachelor","level1",5,"cauc","2","2","100638",NA,NA,419,459,NA,TRUE
"175","male","cauc",1980 Q2,"2nd","regular",622,639,"non-free","urban","master","level1",8,"cauc","2","2","100638",629,538,485,507,FALSE,TRUE
"176","male","cauc",1980 Q2,"3rd","regular",686,691,"non-free","urban","master","level1",15,"cauc","2","2","100638",622,639,557,557,FALSE,TRUE
"177","male","afam",1979 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100653",NA,NA,NA,NA,NA,NA
"178","male","afam",1979 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100653",NA,NA,419,459,NA,NA
"179","male","afam",1979 Q2,"2nd","regular+aide",517,523,"free","inner-city","bachelor","notladder",0,"cauc","11","31","100653",NA,NA,485,507,NA,TRUE
"180","male","afam",1979 Q2,"3rd","regular+aide",562,561,"free","inner-city","bachelor","notladder",17,"afam","11","31","100653",517,523,557,557,TRUE,TRUE
"181","male","afam",1979 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100670",NA,NA,NA,NA,NA,NA
"182","male","afam",1979 Q2,"1st","regular+aide",472,526,"free","inner-city","bachelor","apprentice",1,"afam","11","29","100670",NA,NA,419,459,NA,TRUE
"183","male","afam",1979 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100670",472,526,485,507,TRUE,TRUE
"184","male","afam",1979 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100670",NA,NA,557,557,NA,NA
